Date,Time,SN,Ppv1,Ppv2,Vpv1,Vpv2,Ua,Ub,Uc,Fac,Ubus,PrealL1,PrealL2,PrealL3,Tinv,PacL1,PacL2,PacL3,InvWorkMode,EpvTotal,Einput,Eoutput,Echarge,PmeterL1,PmeterL2,PmeterL3,PmeterDC,Pbat,SOC,BatV,BatC,FlagBms,BmsWork,Pcharge,Pdischarge,BmsRelay,BmsNum,VcellLow,VcellHigh,TcellLow,TcellHigh,IdTempelover,IdTempEover,IdTempediffe,IdChargcurre,IdDischcurre,IdCellvolover,IdCellvollower,IdSoclower,IdCellvoldiffe,BatC1,BatC2,BatC3,BatC4,BatC5,BatC6,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,ErrInv,WarInv,ErrEms,ErrBms,ErrMeter,ErrBackupBox,EGridCharge,EDischarge,EmsStatus,BmsShutdown,InvBatV,BmuRelay,BmsHardVer1,BmsHardVer2,BmsHardVer3,DispatchSwitch,Pdispatch,DispatchSoc,DispatchMode
2021/03/24,11:00:35,<serialremoved>,2228,2200,256.2,275.1,249.4,0.0,0.0,49.97,390,2280,0,0,54,5000,1982,0,3,436.1,60.00,128.40,146.8,-3500,0,0,1567,-1847.5680,62.4,50.48,-36.60,257,1,5050,5050,3,1,17042724,17501481,17170458,16908315,0,0,0,0,0,0,0,0,0,63.50,0.00,0.00,0.00,0.00,0.00,62.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.0,138.6,Normal,0,51.50,0,0,0,0,0,0,0,0
2021/03/24,11:01:36,<serialremoved>,300,282,250.1,256.4,246.5,0.0,0.0,50.01,384,-470,0,0,54,5000,1102,0,3,437.2,60.00,128.40,146.8,543,0,0,307,-1047.4880,62.8,50.36,-20.80,257,1,5050,5050,3,1,17173787,17501472,17170458,16908315,0,0,0,0,0,0,0,0,0,63.50,0.00,0.00,0.00,0.00,0.00,62.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.0,138.6,Normal,0,51.10,0,0,0,0,0,0,0,0
2021/03/24,11:02:36,<serialremoved>,2104,2093,263.0,258.4,249.6,0.0,0.0,50.06,388,-90,0,0,53,5000,4094,0,3,437.2,60.00,128.40,146.9,-1105,0,0,1561,-3822.2280,62.8,50.76,-75.30,257,1,5050,5050,3,1,17173813,17501502,17170458,16908315,0,0,0,0,0,0,0,0,0,63.50,0.00,0.00,0.00,0.00,0.00,62.8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.0,138.6,Normal,0,52.20,0,0,0,0,0,0,0,0
